名称,1,2,流域,桥面高,桥底高,高差,桥长,桥宽
川主寺镇巴郎社区漳腊河桥梁06,372529.911,3631254.547,漳腊河流域漳腊河,3007.35,3006.44,0.91,20.19,3.11
川主寺镇巴郎社区漳腊河桥梁05,372492.4417,3631123.87,漳腊河流域漳腊河,3012.8628,3012.2425,0.62,74.93,17.71
川主寺镇巴郎社区漳腊河桥梁04,371518.807,3630242.653,漳腊河流域漳腊河,2989.8311,2989.4151,0.42,24.89,11.54
川主寺镇巴郎社区漳腊河桥梁03,371206.4234,3630006.042,漳腊河流域漳腊河,2984.9448,2984.3539,0.59,32.77,3.24
川主寺镇巴郎社区漳腊河桥梁02,371143.9364,3629744.037,漳腊河流域漳腊河,2983.4451,2983.2487,0.20,31.2,5.02
川主寺镇巴郎社区漳腊河桥梁01,371059.0418,3629559.877,漳腊河流域漳腊河,2983.8775,2983.0282,0.85,25.09,9.29
