名称,1,2,流域,桥面高,桥底高,高差,桥长,桥宽
白羊乡半边街村陡沟桥梁07,419016.1519,3566350.873,陡沟,1396.1718,1395.48,0.6918,12.03,2.6
白羊乡半边街村陡沟桥梁06,418785.2302,3565820.385,陡沟,1373.0226,1372.2876,0.735,20.26,3.96
白羊乡半边街村陡沟桥梁05 ,418207.8196,3565330.186,陡沟,1351.993,1351.5211,0.4719,15.25,2.7
白羊乡半边街村陡沟桥梁04,418211.1068,3564678.241,陡沟,1331.0141,1330.2774,0.7367,14.57,1.57
白羊乡下河坝村陡沟桥梁03,418112.8721,3564135.769,陡沟,1319.4209,1318.741,0.6799,27.8,3.86
白羊乡下河坝村陡沟桥梁02,417936.0607,3563387.209,陡沟,1298.7364,1298.1152,0.6212,20.57,3.99
白羊乡下河坝村陡沟桥梁01,416348.6545,3562963.287,陡沟,1248.9228,1248.3762,0.5466,44.65,7.24
